Date ,BagTank ,CrucNum,CrucMass,CrucLeafDM,CrucAM
2016-06-13,1,5,30.3826,31.2231,30.4248
2016-06-13,2,17,30.516,31.258,30.552
2016-06-13,3,24,29.3993,30.1196,29.4322
2016-06-13,4,9,27.0818,27.8625,27.1227
2016-06-13,5,22,26.9357,27.981,26.9968
2016-06-13,6,8,28.9689,29.8035,29.0134
2016-06-13,7,15,26.9933,27.7164,27.0268
2016-06-13,8,12,28.1268,29.1006,28.1717
2016-06-13,9,1,29.7395,30.509,29.7781
2016-06-13,10,13,29.7283,30.4766,29.764
2016-06-13,11,7,28.2004,28.7997,28.2249
2016-06-13,12,16,28.8748,29.8947,28.9264
2016-06-13,13,21,31.004,31.8386,31.0478
2016-06-13,14,20,29.1403,29.9093,29.1922
2016-06-13,15,23,28.818,29.546,28.8559
2016-06-13,16,4,27.489,27.9968,27.5128
2016-06-13,17,10,29.7531,30.5522,29.795
2016-06-13,18,14,28.2204,29.2576,28.2809
2016-06-13,19,18,29.439,29.6824,29.4482
2016-06-13,20,6,31.5178,32.4053,31.559
2016-06-13,21,4,27.4882,28.3691,27.5382
2016-06-13,22,12,28.1258,28.9987,28.1664
2016-06-13,23,10,29.7523,30.4256,29.7836
2016-06-13,24,1,29.7389,30.5876,29.7908
2016-06-13,25,5,30.3822,31.067,30.425
2016-06-13,26,14,28.22,28.8286,28.2596
2016-06-13,27,18,29.4386,30.3026,29.5032
2016-06-13,28,20,29.1403,29.7061,29.1689
2016-06-13,29,7,28.2003,28.8578,28.2353
2016-06-13,30,22,26.9353,27.7569,26.9721
